Commodity,country,total_value,rank
FERTILISERS.,NEPAL,67.88,1
FERTILISERS.,MALAYSIA,19.52,2
FERTILISERS.,MOZAMBIQUE,13.15,3
FERTILISERS.,U S A,4.01,4
FERTILISERS.,PAKISTAN IR,3.97,5
FERTILISERS.,VIETNAM SOC REP,3.74,6
FERTILISERS.,SRI LANKA DSR,3.56,7
FERTILISERS.,OMAN,2.9,8
FERTILISERS.,PERU,2.45,9
FERTILISERS.,U ARAB EMTS,2.3,10
FERTILISERS.,NETHERLAND,2.23,11
FERTILISERS.,KENYA,2.18,12
FERTILISERS.,BELGIUM,2.13,13
FERTILISERS.,ETHIOPIA,1.86,14
FERTILISERS.,INDONESIA,1.43,15
FERTILISERS.,MOROCCO,1.22,16
FERTILISERS.,CHINA P RP,1.1,17
FERTILISERS.,PHILIPPINES,0.86,18
FERTILISERS.,BANGLADESH PR,0.84,19
FERTILISERS.,ZAMBIA,0.65,20
FERTILISERS.,THAILAND,0.64,21
FERTILISERS.,SAUDI ARAB,0.64,21
FERTILISERS.,EGYPT A RP,0.49,23
FERTILISERS.,IRAN,0.47,24
FERTILISERS.,SERBIA,0.46,25
FERTILISERS.,AUSTRALIA,0.43,26
FERTILISERS.,DJIBOUTI,0.41,27
FERTILISERS.,MALDIVES,0.4,28
FERTILISERS.,TANZANIA REP,0.39,29
FERTILISERS.,CANADA,0.37,30
FERTILISERS.,SPAIN,0.37,30
FERTILISERS.,TUNISIA,0.36,32
FERTILISERS.,TURKEY,0.35,33
FERTILISERS.,LEBANON,0.34,34
FERTILISERS.,BRAZIL,0.34,34
FERTILISERS.,KOREA RP,0.33,36
FERTILISERS.,MALAWI,0.29,37
FERTILISERS.,MADAGASCAR,0.26,38
FERTILISERS.,GERMANY,0.25,39
FERTILISERS.,TAIWAN,0.23,40
FERTILISERS.,SINGAPORE,0.22,41
FERTILISERS.,JAPAN,0.19,42
FERTILISERS.,U K,0.17,43
FERTILISERS.,GHANA,0.17,43
FERTILISERS.,SOUTH AFRICA,0.15,45
FERTILISERS.,MYANMAR,0.1,46
FERTILISERS.,SWITZERLAND,0.09,47
FERTILISERS.,CAMEROON,0.09,47
FERTILISERS.,LITHUANIA,0.08,49
FERTILISERS.,COTE D' IVOIRE,0.07,50
FERTILISERS.,JORDAN,0.07,50
FERTILISERS.,MEXICO,0.06,52
FERTILISERS.,NEW ZEALAND,0.06,52
FERTILISERS.,CHILE,0.06,52
FERTILISERS.,QATAR,0.05,55
FERTILISERS.,ITALY,0.05,55
FERTILISERS.,MAURITIUS,0.04,57
FERTILISERS.,ZIMBABWE,0.04,57
FERTILISERS.,GUATEMALA,0.03,59
FERTILISERS.,IRAQ,0.03,59
FERTILISERS.,BENIN,0.03,59
FERTILISERS.,ECUADOR,0.03,59
FERTILISERS.,GREECE,0.03,59
FERTILISERS.,DOMINIC REP,0.02,64
FERTILISERS.,COLOMBIA,0.02,64
FERTILISERS.,KUWAIT,0.02,64
FERTILISERS.,UGANDA,0.02,64
FERTILISERS.,UKRAINE,0.02,64
FERTILISERS.,ROMANIA,0.02,64
FERTILISERS.,NIGERIA,0.02,64
FERTILISERS.,RWANDA,0.01,71
FERTILISERS.,YEMEN REPUBLC,0.01,71
FERTILISERS.,TRINIDAD,0.01,71
FERTILISERS.,GUINEA,0.01,71
FERTILISERS.,LIBERIA,0.01,71
FERTILISERS.,CONGO D. REP.,0.01,71
FERTILISERS.,SENEGAL,0.01,71
FERTILISERS.,GUYANA,0.0,78
FERTILISERS.,AFGHANISTAN TIS,0.0,78
FERTILISERS.,ALGERIA,0.0,78
FERTILISERS.,HONDURAS,0.0,78
FERTILISERS.,CYPRUS,0.0,78
FERTILISERS.,SYRIA,0.0,78
FERTILISERS.,BARBADOS,0.0,78
FERTILISERS.,BOTSWANA,0.0,78
FERTILISERS.,UZBEKISTAN,0.0,78
FERTILISERS.,SEYCHELLES,0.0,78
FERTILISERS.,ARGENTINA,0.0,78
FERTILISERS.,CAMBODIA,0.0,78
FERTILISERS.,SURINAME,0.0,78
FERTILISERS.,BELIZE,0.0,78
FERTILISERS.,JAMAICA,0.0,78
FERTILISERS.,BRUNEI,0.0,78
FERTILISERS.,BOSNIA-HRZGOVIN,0.0,78
FERTILISERS.,ISRAEL,0.0,78
FERTILISERS.,BURUNDI,0.0,78
FERTILISERS.,BHUTAN,0.0,78
FERTILISERS.,EQUTL GUINEA,0.0,78
FERTILISERS.,PARAGUAY,0.0,78
FERTILISERS.,LAO PD RP,0.0,78
FERTILISERS.,PORTUGAL,"",101
FERTILISERS.,POLAND,"",101
FERTILISERS.,SOMALIA,"",101
FERTILISERS.,BAHARAIN IS,"",101
FERTILISERS.,MONGOLIA,"",101
FERTILISERS.,LATVIA,"",101
FERTILISERS.,SIERRA LEONE,"",101
FERTILISERS.,ALBANIA,"",101
FERTILISERS.,CONGO P REP,"",101
FERTILISERS.,MOLDOVA,"",101
FERTILISERS.,FIJI IS,"",101
FERTILISERS.,BULGARIA,"",101
FERTILISERS.,AZERBAIJAN,"",101
FERTILISERS.,ERITREA,"",101
FERTILISERS.,ANGOLA,"",101
FERTILISERS.,TOGO,"",101
FERTILISERS.,SLOVENIA,"",101
FERTILISERS.,BOLIVIA,"",101
FERTILISERS.,KAZAKHSTAN,"",101
FERTILISERS.,CUBA,"",101
FERTILISERS.,GAMBIA,"",101
FERTILISERS.,GEORGIA,"",101
FERTILISERS.,FRANCE,"",101
FERTILISERS.,NORWAY,"",101
