NEPAL,1140.02,1
ITALY,887.32,2
U ARAB EMTS,733.44,3
BELGIUM,600.81,4
VIETNAM SOC REP,486.22,5
KOREA RP,449.0,6
BANGLADESH PR,323.45,7
CHINA P RP,318.9,8
SPAIN,311.07,9
INDONESIA,276.76,10
U S A,247.39,11
MALAYSIA,242.37,12
JAPAN,235.59,13
TAIWAN,223.73,14
THAILAND,201.61,15
TURKEY,172.63,16
NETHERLAND,168.29,17
SRI LANKA DSR,161.55,18
GERMANY,161.34,19
SAUDI ARAB,158.71,20
POLAND,131.58,21
MEXICO,105.53,22
PHILIPPINES,101.84,23
U K,93.13,24
BRAZIL,88.99,25
ETHIOPIA,85.8,26
OMAN,84.31,27
RUSSIA,80.99,28
DJIBOUTI,68.89,29
HONG KONG,65.23,30
QATAR,64.82,31
IRAN,63.08,32
CANADA,61.14,33
PORTUGAL,59.57,34
BHUTAN,55.09,35
KENYA,52.4,36
NIGERIA,52.11,37
PAKISTAN IR,51.9,38
EGYPT A RP,45.27,39
SINGAPORE,44.38,40
AUSTRALIA,38.24,41
KUWAIT,33.72,42
SOUTH AFRICA,32.87,43
COLOMBIA,31.04,44
ARGENTINA,29.6,45
FRANCE,28.81,46
ROMANIA,28.23,47
PARAGUAY,27.59,48
BAHARAIN IS,26.21,49
LATVIA,24.97,50
MYANMAR,23.95,51
ECUADOR,23.3,52
GREECE,21.46,53
GHANA,18.26,54
DENMARK,17.59,55
CHILE,17.49,56
UKRAINE,16.48,57
PERU,16.34,58
ISRAEL,14.94,59
IRELAND,14.34,60
SOMALIA,13.7,61
MALDIVES,13.48,62
SENEGAL,12.16,63
SLOVENIA,11.8,64
TANZANIA REP,11.76,65
SUDAN,10.92,66
NEW ZEALAND,10.83,67
SWEDEN,10.46,68
BULGARIA,10.06,69
TRINIDAD,9.52,70
FINLAND,9.51,71
MOROCCO,8.47,72
LIBYA,7.72,73
RWANDA,7.6,74
GUATEMALA,7.25,75
TUNISIA,6.96,76
JAMAICA,5.76,77
MAURITIUS,5.49,78
SWITZERLAND,5.32,79
NORWAY,4.98,80
URUGUAY,4.95,81
HONDURAS,4.57,82
ZAMBIA,4.54,83
ESTONIA,4.52,84
CAMEROON,4.05,85
COTE D' IVOIRE,3.99,86
LITHUANIA,3.91,87
DOMINIC REP,3.88,88
AUSTRIA,3.71,89
IRAQ,3.7,90
MADAGASCAR,3.67,91
GUINEA,3.64,92
JORDAN,3.42,93
UGANDA,3.01,94
CZECH REPUBLIC,2.91,95
ANGOLA,2.86,96
EL SALVADOR,2.79,97
GUYANA,2.74,98
ALGERIA,2.48,99
MOZAMBIQUE,2.39,100
LEBANON,2.37,101
BARBADOS,2.31,102
ICELAND,2.25,103
HUNGARY,2.17,104
BELIZE,2.02,105
CONGO D. REP.,1.91,106
LIBERIA,1.7,107
CYPRUS,1.68,108
SLOVAK REP,1.58,109
ZIMBABWE,1.57,110
SIERRA LEONE,1.53,111
MALAWI,1.44,112
COSTA RICA,1.36,113
CROATIA,1.22,114
GAMBIA,1.21,115
UZBEKISTAN,1.05,116
ST LUCIA,1.01,117
CONGO P REP,0.87,118
BENIN,0.84,119
AFGHANISTAN TIS,0.84,119
MALI,0.79,121
BURUNDI,0.72,122
YEMEN REPUBLC,0.72,122
GEORGIA,0.68,124
SURINAME,0.65,125
TOGO,0.64,126
GRENADA,0.63,127
COMOROS,0.62,128
SEYCHELLES,0.56,129
BOTSWANA,0.56,129
GABON,0.54,131
BELARUS,0.53,132
MONTENEGRO,0.51,133
ANTIGUA,0.5,134
NIGER,0.49,135
SERBIA,0.47,136
BURKINA FASO,0.33,137
EQUTL GUINEA,0.33,137
CHAD,0.31,139
PANAMA REPUBLIC,0.31,139
CUBA,0.24,141
VENEZUELA,0.23,142
PAPUA N GNA,0.22,143
GUINEA BISSAU,0.21,144
REUNION,0.18,145
CAMBODIA,0.15,146
KYRGHYZSTAN,0.15,146
BOLIVIA,0.14,148
TURKMENISTAN,0.13,149
FIJI IS,0.13,149
DOMINICA,0.11,151
LAO PD RP,0.1,152
SYRIA,0.08,153
HAITI,0.08,153
LUXEMBOURG,0.06,155
VIRGIN IS US,0.06,155
NETHERLANDANTIL,0.06,155
ARUBA,0.05,158
NICARAGUA,0.05,158
NEW CALEDONIA,0.04,160
PUERTO RICO,0.04,160
KOREA DP RP,0.04,160
NAMIBIA,0.03,163
MOLDOVA,0.03,163
BRUNEI,0.02,165
ST VINCENT,0.02,165
MAURITANIA,0.02,165
C AFRI REP,0.01,168
GUADELOUPE,0.01,168
MACEDONIA,0.0,170
VANUATU REP,0.0,170
ARMENIA,0.0,170
MALTA,0.0,170
MARSHALL ISLAND,0.0,170
MONGOLIA,0.0,170
AZERBAIJAN,0.0,170
UNSPECIFIED,0.0,170
PALAU,0.0,170
KAZAKHSTAN,0.0,170
MARTINIQUE,"",180
SWAZILAND,"",180
N. MARIANA IS.,"",180
NAURU RP,"",180
SAHARWI A.DM RP,"",180
ERITREA,"",180
