U S A,251.15,1
CHINA P RP,238.13,2
BANGLADESH PR,221.19,3
TURKEY,180.22,4
GERMANY,166.5,5
BRAZIL,133.74,6
ITALY,130.47,7
INDONESIA,119.43,8
PAKISTAN IR,114.48,9
KOREA RP,106.88,10
NETHERLAND,104.79,11
THAILAND,93.21,12
JAPAN,82.49,13
SINGAPORE,80.41,14
MEXICO,78.56,15
U K,68.97,16
U ARAB EMTS,66.02,17
HONDURAS,62.19,18
VIETNAM SOC REP,58.43,19
SPAIN,56.08,20
TAIWAN,50.45,21
SOUTH AFRICA,48.33,22
BELGIUM,45.34,23
EGYPT A RP,43.27,24
NEPAL,37.35,25
IRAN,35.37,26
MALAYSIA,30.62,27
NIGERIA,28.35,28
PHILIPPINES,26.98,29
RUSSIA,26.59,30
KENYA,25.86,31
SAUDI ARAB,25.41,32
AUSTRALIA,23.4,33
ARGENTINA,23.38,34
SRI LANKA DSR,23.32,35
COLOMBIA,21.54,36
SWITZERLAND,19.76,37
POLAND,19.32,38
FRANCE,18.43,39
PERU,17.53,40
TANZANIA REP,13.65,41
DENMARK,13.25,42
QATAR,13.06,43
DOMINIC REP,12.78,44
CANADA,12.39,45
ETHIOPIA,11.09,46
PORTUGAL,10.25,47
UGANDA,10.0,48
ISRAEL,9.09,49
HONG KONG,8.92,50
GHANA,8.35,51
ALGERIA,8.34,52
GUATEMALA,7.48,53
YEMEN REPUBLC,7.33,54
MOROCCO,6.93,55
UZBEKISTAN,6.4,56
COTE D' IVOIRE,5.99,57
CHILE,5.78,58
OMAN,5.72,59
GREECE,5.71,60
MYANMAR,5.44,61
ECUADOR,5.4,62
SUDAN,5.01,63
NEW ZEALAND,4.8,64
BHUTAN,4.57,65
LEBANON,4.13,66
URUGUAY,4.0,67
JORDAN,3.79,68
BAHARAIN IS,3.38,69
SENEGAL,3.3,70
FINLAND,3.2,71
SWEDEN,3.2,71
UKRAINE,3.19,73
CZECH REPUBLIC,2.8,74
EL SALVADOR,2.79,75
IRAQ,2.64,76
MAURITIUS,2.55,77
KUWAIT,2.48,78
MOZAMBIQUE,2.46,79
TUNISIA,2.31,80
PANAMA REPUBLIC,2.3,81
BULGARIA,2.14,82
MAURITANIA,2.11,83
SYRIA,1.97,84
GUINEA,1.94,85
CONGO D. REP.,1.83,86
MALDIVES,1.74,87
PARAGUAY,1.69,88
ANGOLA,1.58,89
COSTA RICA,1.57,90
CAMEROON,1.52,91
LITHUANIA,1.43,92
MALAWI,1.39,93
SOMALIA,1.38,94
TOGO,1.37,95
AUSTRIA,1.25,96
MADAGASCAR,1.18,97
MALTA,1.17,98
ZAMBIA,1.09,99
ROMANIA,0.94,100
CAMBODIA,0.92,101
DJIBOUTI,0.9,102
TURKMENISTAN,0.87,103
IRELAND,0.81,104
KOREA DP RP,0.78,105
CROATIA,0.76,106
KAZAKHSTAN,0.75,107
LIBERIA,0.71,108
ZIMBABWE,0.67,109
BELARUS,0.52,110
BOSNIA-HRZGOVIN,0.52,110
BURUNDI,0.51,112
GAMBIA,0.47,113
HUNGARY,0.46,114
FIJI IS,0.45,115
LUXEMBOURG,0.38,116
BOLIVIA,0.37,117
MALI,0.35,118
SIERRA LEONE,0.33,119
RWANDA,0.3,120
GEORGIA,0.29,121
SERBIA,0.29,121
BURKINA FASO,0.28,123
SLOVENIA,0.28,123
CONGO P REP,0.27,125
GABON,0.24,126
AFGHANISTAN TIS,0.21,127
PAPUA N GNA,0.2,128
BENIN,0.2,128
TRINIDAD,0.2,128
AZERBAIJAN,0.17,131
HAITI,0.16,132
VENEZUELA,0.15,133
SURINAME,0.14,134
NIGER,0.14,134
JAMAICA,0.11,136
SEYCHELLES,0.11,136
NICARAGUA,0.11,136
MOLDOVA,0.1,139
LATVIA,0.07,140
ARMENIA,0.07,140
ALBANIA,0.05,142
MACEDONIA,0.05,142
CYPRUS,0.04,144
EQUTL GUINEA,0.04,144
NORWAY,0.04,144
NEW CALEDONIA,0.03,147
GUYANA,0.03,147
MAYOTTE,0.02,149
GUAM,0.02,149
UNSPECIFIED,0.02,149
NAMIBIA,0.02,149
KYRGHYZSTAN,0.02,149
SLOVAK REP,0.02,149
CHAD,0.02,149
BRUNEI,0.02,149
COMOROS,0.02,149
SAMOA,0.01,158
TAJIKISTAN,0.01,158
REUNION,0.01,158
LAO PD RP,0.01,158
MONGOLIA,0.01,158
N. MARIANA IS.,0.01,158
FR POLYNESIA,0.01,158
BOTSWANA,0.01,158
SAN MARINO,0.01,158
ESTONIA,0.01,158
PUERTO RICO,0.0,168
BARBADOS,0.0,168
PITCAIRN IS.,0.0,168
PALAU,0.0,168
BERMUDA,0.0,168
SOUTH SUDAN,0.0,168
ST VINCENT,0.0,168
GUADELOUPE,0.0,168
LIBYA,0.0,168
C AFRI REP,0.0,168
NETHERLANDANTIL,0.0,168
VANUATU REP,0.0,168
GRENADA,0.0,168
MARSHALL ISLAND,"",181
GUINEA BISSAU,"",181
CAYMAN IS,"",181
DOMINICA,"",181
ARUBA,"",181
LIECHTENSTEIN,"",181
BAHAMAS,"",181
TONGA,"",181
VATICAN CITY,"",181
ICELAND,"",181
SWAZILAND,"",181
ERITREA,"",181
MONTENEGRO,"",181
BELIZE,"",181
US MINOR OUTLYING ISLANDS,"",181
